dataset,utt_id,duration_sec,ref,hyp,wer
librispeech_test_clean,1284-1180-0021,9.84,I THINK THE NEXT GLASS CAT THE MAGICIAN MAKES WILL HAVE NEITHER BRAINS NOR HEART FOR THEN IT WILL NOT OBJECT TO CATCHING MICE AND MAY PROVE OF SOME USE TO US,"I think the next glass cap the magician makes will have neither brains nor heart, for then it will not object to catching mice and may prove of some use to us.",0.03125
librispeech_test_clean,8230-279154-0019,18.145,IT WOULD SEEM THAT ONLY RATHER RECENT EVENTS CAN BE PLACED AT ALL ACCURATELY BY MEANS OF FEELINGS GIVING THEIR TEMPORAL RELATION TO THE PRESENT BUT IT IS CLEAR THAT SUCH FEELINGS MUST PLAY AN ESSENTIAL PART IN THE PROCESS OF DATING REMEMBERED EVENTS,"It would seem that only rather recent events can be placed at all accurately by means of feelings giving their temporal relation to the present, but it is clear that such feelings must play an essential part in the process of dating remembered events.",0.0
librispeech_test_clean,2961-960-0014,8.775,THE IDEAS ALSO REMAIN BUT THEY HAVE BECOME TYPES IN NATURE FORMS OF MEN ANIMALS BIRDS FISHES,"The ideas also remain, but they have become types in nature, forms of men, animals, birds, fishes.",0.0
librispeech_test_clean,7729-102255-0008,19.065,ALL THE TERRITORIAL DIGNITARIES WERE PRESENT GOVERNOR SHANNON PRESIDED JOHN CALHOUN THE SURVEYOR GENERAL MADE THE PRINCIPAL SPEECH A DENUNCIATION OF THE ABOLITIONISTS SUPPORTING THE TOPEKA MOVEMENT CHIEF JUSTICE LECOMPTE DIGNIFIED THE OCCASION WITH APPROVING REMARKS,"All the territorial dignitaries were present. Governor Shannon presided John Calhoun, the surveyor general, made the principal speech a denunciation of the abolitionist supporting the Topeka movement. Chief Justice LeCaf dignified the occasion with approving remarks.",0.05555555555555555
librispeech_test_clean,7729-102255-0046,19.945,IN THE EARLY MORNING OF THE NEXT DAY MAY TWENTY NINTH A COMPANY OF DRAGOONS WITH ONE EMPTY SADDLE CAME DOWN FROM THE FORT AND WHILE THE PRO SLAVERY MEN STILL SLEPT THE PRISONER AND HIS ESCORT WERE ON THEIR WAY ACROSS THE PRAIRIES TO LECOMPTON IN THE CHARGE OF OFFICERS OF THE UNITED STATES ARMY,"In the early morning of the next day, May 29, a company of Dragunz with one empty saddle came down from the fort, and while the pro-slavery men still slept, the prisoner and his escort were on their way across the prairies to La Compton in the charge of officers of the United States Army.",0.08928571428571429
librispeech_test_clean,6930-76324-0019,2.575,NOW LET'S DUST THE FURNITURE AND PICTURES,Now let's dust the furniture and pictures.,0.0
librispeech_test_clean,6930-81414-0025,2.53,MY POSITION WAS TOO TERRIBLE,My position was too terrible.,0.0
librispeech_test_clean,6930-75918-0016,10.015,YES I NEED REPOSE MANY THINGS HAVE AGITATED ME TO DAY BOTH IN MIND AND BODY WHEN YOU RETURN TO MORROW I SHALL NO LONGER BE THE SAME MAN,"Yes, I need to repose, many things have agitated me today, both in mind and body. When you return tomorrow, I shall no longer be the same man.",0.1724137931034483
librispeech_test_clean,5639-40744-0038,13.8,JUST AT THE MOMENT WHEN THE TEARS OF THE PITYING BEHOLDERS FLOWED FASTEST AND THEIR EJACULATIONS WERE MOST EXPRESSIVE OF DESPAIR LEOCADIA GAVE SIGNS OF RECOVERY AND BROUGHT BACK GLADNESS TO THE HEARTS OF ALL,"Just at the moment, when the tears of the pitying beholders flowed fastest, and their ejaculations were most expressive of despair, leocadia gave signs of recovery, and brought back gladness through the hearts of all.",0.02857142857142857
librispeech_test_clean,1284-1181-0006,11.405,WELL THAT MAY BE TRUE AGREED MARGOLOTTE BUT ON THE CONTRARY A SERVANT WITH TOO MUCH BRAINS IS SURE TO BECOME INDEPENDENT AND HIGH AND MIGHTY AND FEEL ABOVE HER WORK,"Well, that may be true, agreed Mark a lot. But on the commentary, a servant with too much brains is sure to become independent and high in mighty and feel above her work.",0.16129032258064516
